Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,tr4m0ryp/tr4mpass,https://github.com/tr4m0ryp/tr4mpass,"Free, open-source iCloud activation lock bypass tool. Remove iCloud lock from iPhone 5s through iPhone 15 Pro (iOS 12-26.1). Fully offline -- no servers, no payments. Supports checkm8 (A5-A11) and session activation (A12+).",C,990,255,14 stars today,tr4m0ryp; claude; Apocrypha12; Copilot
2,libsdl-org/SDL,https://github.com/libsdl-org/SDL,Simple DirectMedia Layer,C,16648,3010,14 stars today,slouken; icculus; madebr; sezero; SDLWikiBot
3,stackia/rtp2httpd,https://github.com/stackia/rtp2httpd,"Multicast RTP/RTSP to Unicast HTTP stream converter, with built-in web player, status dashboard, fast channel change support, and more!",C,2129,332,6 stars today,stackia; claude; github-actions; cursoragent; laozhoubuluo
4,snesrev/zelda3,https://github.com/snesrev/zelda3,Pas de description,C,4803,438,15 stars today,snesrev; FitzRoyX; keatongreve; xander-haj; Nutzzz
5,rizonesoft/Notepad3,https://github.com/rizonesoft/Notepad3,Notepad like text editor based on the Scintilla source code. Notepad3 based on code from Notepad2 and MiniPath on code from metapath. Download Notepad3:,C,6657,408,7 stars today,RaiKoHoff; hpwamr; rizonesoft; VenusGirl; xsak
6,antirez/ds4,https://github.com/antirez/ds4,"DeepSeek 4 Flash and PRO local inference engine for Metal, CUDA and ROCm",C,22647,2168,42 stars today,antirez; claude; kyuz0; ivanfioravanti; polymorf
7,microsoft/mimalloc,https://github.com/microsoft/mimalloc,mimalloc is a compact general purpose allocator with excellent performance.,C,13392,1185,6 stars today,daanx; devnexen; jserv; res2k; asl
8,apache/age,https://github.com/apache/age,Graph database optimized for fast analysis and real-time data processing. It is provided as an extension to PostgreSQL.,C,4847,526,8 stars today,jrgemignani; protodef; MuhammadTahaNaveed; JoshInnis; dehowef
9,ventoy/Ventoy,https://github.com/ventoy/Ventoy,A new bootable USB solution.,C,79483,4949,31 stars today,ventoy; wiz64; VenusGirl; crasadure; AnomSanjaya
10,mit-pdos/xv6-public,https://github.com/mit-pdos/xv6-public,xv6 OS,C,9628,4544,4 stars today,kaashoek; rsc; phf; aclements; mikecat
11,EchoStretch/kstuff-lite,https://github.com/EchoStretch/kstuff-lite,Pas de description,C,463,31,8 stars today,drakmor; EchoStretch; sunnyqeen; idlesauce; ItsAllAboutTheCode
12,meshcore-dev/MeshCore,https://github.com/meshcore-dev/MeshCore,"A new lightweight, hybrid routing mesh protocol for packet radios",C,3717,1360,14 stars today,ripplebiz; liamcottle; fdlamotte; oltaco; recrof
13,DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 158 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,44221,3617,201 stars today,DeusData; claude; shanemccarron-maker; dependabot; CaptainMittens
14,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,16588,10029,5 stars today,nashif; jukkar; galak; kartben; gmarull
15,lyssadev/Spotilol,https://github.com/lyssadev/Spotilol,A android app that wraps Spotify's web player with built-in adblocker,C,377,12,5 stars today,lyssadev; xzyyysh; oljcvw; s1ddhants1; AldySan
16,HermannBjorgvin/Clawdmeter,https://github.com/HermannBjorgvin/Clawdmeter,ESP32 desk dashboard that shows Claude Code usage,C,2216,349,6 stars today,HermannBjorgvin; claude; nathanjohnpayne; pRieStaKos; Keralots
17,dorianborian/sesame-robot,https://github.com/dorianborian/sesame-robot,An open and affordable mini quadruped robot based on ESP32.,C,4484,607,12 stars today,dorianborian; kcode-15; shariqnaiyer; one-for-all; vido89
