Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,mayocream/koharu,https://github.com/mayocream/koharu,"ML-powered manga translator, written in Rust.",Rust,1929,98,123 stars today,mayocream; fffonion; dependabot; Map1en; karrot0
2,louis-e/arnis,https://github.com/louis-e/arnis,Generate any location from the real world in Minecraft with a high level of detail.,Rust,14478,1159,65 stars today,louis-e; dependabot; Oleg4260; claude; XianlinSheng
3,zhom/donutbrowser,https://github.com/zhom/donutbrowser,Simple Yet Powerful Anti-Detect Browser 🍩,Rust,1266,90,41 stars today,zhom; dependabot; github-actions; HassiyYT; yb403
4,dmtrKovalenko/fff.nvim,https://github.com/dmtrKovalenko/fff.nvim,"The fastest and the most accurate file search toolkit for AI agents, Neovim, Rust, C, and NodeJS",Rust,3790,159,282 stars today,dmtrKovalenko; github-actions; sQVe; WillLillis; disrupted
5,memvid/memvid,https://github.com/memvid/memvid,"Memory layer for AI Agents. Replace complex RAG pipelines with a serverless, single-file memory layer. Give your agents instant retrieval and long-term memory.",Rust,14532,1261,351 stars today,sharafdin; Olow304; mo-omar-0197; TyJK; akash-R-A-J
6,vercel-labs/agent-browser,https://github.com/vercel-labs/agent-browser,Browser automation CLI for AI agents,Rust,27776,1675,379 stars today,ctate; github-actions; claude; hyunjinee; jin-2-kakaoent
7,cocoindex-io/cocoindex,https://github.com/cocoindex-io/cocoindex,"Data transformation framework for AI. Ultra performant, with incremental processing. 🌟 Star if you like it!",Rust,6757,494,19 stars today,badmonster0; georgeh0; lemorage; Haleshot; cocoindex-dev
8,RustPython/RustPython,https://github.com/RustPython/RustPython,A Python Interpreter written in Rust,Rust,21965,1422,23 stars today,youknowone; coolreader18; windelbouwman; fanninpm; palaviv
9,biomejs/biome,https://github.com/biomejs/biome,"A toolchain for web projects, aimed to provide functionalities to maintain them. Biome offers formatter and linter, usable via CLI and LSP.",Rust,24238,933,10 stars today,ematipico; sebmck; Conaclos; renovate; arendjr
10,j178/prek,https://github.com/j178/prek,"⚡ A Git hook manager written in Rust, designed as a drop-in alternative to pre-commit.",Rust,7210,204,30 stars today,j178; renovate; shaanmajid; Copilot; lmmx
11,tokio-rs/tokio,https://github.com/tokio-rs/tokio,"A runtime for writing reliable asynchronous applications with Rust. Provides I/O, networking, scheduling, timers, ...",Rust,31566,2987,13 stars today,traviscibot; carllerche; Darksonn; alexcrichton; taiki-e
