Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman,Go,102695,5973,238 stars today,JuliusBrussee; claude; hunleyd; github-actions; sebastianbreguel
2,danielmiessler/Fabric,https://github.com/danielmiessler/Fabric,Fabric is an open-source framework for augmenting humans using AI. It provides a modular system for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.,Go,43756,4250,46 stars today,danielmiessler; ksylvan; github-actions; eugeis; xssdoctor
3,dolthub/dolt,https://github.com/dolthub/dolt,Dolt – Git for Data,Go,24343,870,11 stars today,zachmu; andy-wm-arthur; reltuk; fulghum; coffeegoddd
4,majd/ipatool,https://github.com/majd/ipatool,"Command-line tool that allows searching and downloading app packages (known as ipa files) for iOS, iPadOS, tvOS, and visionOS from the App Store.",Go,10768,904,47 stars today,majd; dependabot; ViRb3; tux-mind; testwill
5,cilium/cilium,https://github.com/cilium/cilium,"eBPF-based Networking, Security, and Observability",Go,25047,4010,9 stars today,aanm; tgraf; joestringer; tklauser; jrajahalme
6,casdoor/casdoor,https://github.com/casdoor/casdoor,"An open-source Agent-first Identity and Access Management (IAM) /LLM MCP & agent gateway and auth server with web UI supporting OpenClaw, MCP, OAuth, OIDC, SAML, CAS, LDAP, SCIM, WebAuthn, TOTP, MFA, Face ID, Google Workspace, Azure AD",Go,14334,1797,19 stars today,hsluoyz; dacongda; nomeguy; Copilot; leo220yuyaodog
7,tphakala/birdnet-go,https://github.com/tphakala/birdnet-go,"Self-hosted realtime soundscape analyser for birds, bats and other wildlife. Multi-model local AI inference, runs 24/7 on a Raspberry Pi.",Go,1844,162,40 stars today,tphakala; claude; dependabot; github-actions; isZumpo
8,Ed1s0nZ/CyberStrikeAI,https://github.com/Ed1s0nZ/CyberStrikeAI,"The system of action for AI-native cybersecurity—where intent becomes governed execution, evidence becomes operational memory, and every operation improves the next.",Go,6304,1019,78 stars today,Ed1s0nZ; RuoJi6; cursoragent; ruanmingchen; donnel666
9,fish2018/pansou,https://github.com/fish2018/pansou,PanSou是一款高性能的网盘资源搜索API服务，支持TG频道和插件搜索。系统设计以性能和可扩展性为核心，支持多频道多插件并发搜索、结果智能排序和网盘类型分类。docker集成前后端，一键启动，开箱即用。仅供学习研究，请勿以各种形式用于盈利目的。 https://t.me/s/webhtv,Go,14441,3482,13 stars today,fish2018; woleigedouer; yayoinoyume; CCRSRG; andyzjb
10,github/github-mcp-server,https://github.com/github/github-mcp-server,GitHub's official MCP Server,Go,32674,4888,23 stars today,SamMorrowDrums; Copilot; dependabot; JoannaaKL; mattdholloway
11,slackhq/nebula,https://github.com/slackhq/nebula,"A scalable overlay networking tool with a focus on performance, simplicity and security",Go,18248,1177,561 stars today,nbrownus; wadey; dependabot; JackDoan; johnmaguire
12,VictoriaMetrics/VictoriaMetrics,https://github.com/VictoriaMetrics/VictoriaMetrics,"VictoriaMetrics: fast, cost-effective monitoring solution and time series database",Go,17642,1730,9 stars today,valyala; hagen1778; f41gh7; makasim; zekker6
13,docker/compose,https://github.com/docker/compose,Define and run multi-container applications with Docker,Go,38120,5794,11 stars today,ndeloof; glours; gtardif; dependabot; rumpl
14,anchore/syft,https://github.com/anchore/syft,CLI tool and library for generating a Software Bill of Materials from container images and filesystems,Go,9504,944,8 stars today,wagoodman; dependabot; spiffcs; anchore-actions-token-generator; kzantow
15,livekit/livekit,https://github.com/livekit/livekit,End-to-end realtime stack for connecting humans and AI,Go,20665,2299,27 stars today,boks1971; davidzhao; cnderrauber; paulwe; renovate
16,TencentCloud/CubeSandbox,https://github.com/TencentCloud/CubeSandbox,"Instant, Concurrent, Secure & Lightweight Sandbox for AI Agents.",Go,11677,1088,47 stars today,fslongjin; chenhengqi; ls-ggg; zyl1121; cursoragent
17,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Production-Grade Container Scheduling and Management,Go,125953,43986,32 stars today,k8s-ci-robot; liggitt; thockin; wojtek-t; brendandburns
18,QuantumNous/new-api,https://github.com/QuantumNous/new-api,"A unified AI model hub for aggregation & distribution. It supports cross-converting various LLMs into OpenAI-compatible, Claude-compatible, or Gemini-compatible formats. A centralized gateway for personal and enterprise model management.",Go,47118,11240,96 stars today,Calcium-Ion; seefs001; t0ng7u; songquanpeng
19,gastownhall/gastown,https://github.com/gastownhall/gastown,Gas Town - multi-agent workspace manager,Go,17904,1649,13 stars today,steveyegge; claude; julianknutsen; Thalia-geraghty; seanbearden
20,gosom/google-maps-scraper,https://github.com/gosom/google-maps-scraper,"scrape data from Google Maps. Extracts data such as the name, address, phone number, website URL, rating, reviews number, latitude and longitude, reviews,email and more for each place",Go,5713,899,17 stars today,gosom; dredozubov; sbOogway; fidalgo; claude
21,seaweedfs/seaweedfs,https://github.com/seaweedfs/seaweedfs,"SeaweedFS is a distributed storage system for object storage (S3), file systems, and Iceberg tables, designed to handle billions of files with O(1) disk access and effortless horizontal scaling.",Go,34422,2980,11 stars today,chrislusf; dependabot; kmlebedev; chrisluuber; gemini-code-assist
22,containerd/containerd,https://github.com/containerd/containerd,An open and reliable container runtime,Go,21240,4090,6 stars today,dmcgowan; crosbymichael; estesp; Random-Liu; mxpv
